player_id,player_name,player_position,player_age,player_avg_yellow_cards,player_avg_red_cards,player_avg_fouls
620,"Jacob Murphy",Midfielder,27,2.33333,0,14.3333
621,"Glenn Murray",Forward,39,2.5,0,47.5
623,"Yoshinori Muto",Forward,30,0.5,0,7.5
624,"Enock Mwepu",Midfielder,24,2,0,18
625,"Vitaliy Mykolenko",Defender,23,0,0,13
626,"Daniel N'Lundulu",Forward,23,0,0,6
627,"Marvelous Nakamba",Midfielder,28,4.33333,0,16.6667
629,"Marc Navarro",Defender,27,0,0,1
630,"Wilfred Ndidi",Midfielder,25,6,0,46.5
631,"Tanguy Ndombélé",Midfielder,25,2.33333,0,14.3333
632,"Reiss Nelson",Forward,22,0.333333,0,3.33333
633,"Nélson Semedo",Defender,28,3,0,32
634,"Jeremy Ngakia",Defender,22,0,0,7
635,"Saúl Ñíguez",Midfielder,27,1,0,9
636,"Eddie Nketiah",Forward,23,0.75,0.25,11
637,"Nicolas Nkoulou",Defender,32,0,0,1
638,"Niels Nkounkou",Defender,21,1,0,1
639,"Mark Noble",Midfielder,35,3,0.25,15.75
640,"Mathias Normann",Midfielder,26,6,0,37
641,"Will Norris",Goalkeeper,29,0,0,0
642,"Nuno Tavares",Defender,22,2,0,23
643,"Ørjan Nyland",Goalkeeper,32,0,0,0
644,"Christian Nørgaard",Midfielder,28,8,0,56
647,"Michael Obafemi",Forward,22,0.666667,0,4.66667
651,"Angelo Ogbonna",Defender,34,3,0,17.5
660,"Michael Olise",Midfielder,20,4,0,16
661,"Robin Olsen",Goalkeeper,32,0.5,0,0
663,"Andrew Omobamidele",Defender,20,1,0,3
667,"Tyler Onyango",Midfielder,19,0,0,0
668,"Frank Onyeka",Midfielder,24,4,0,33
669,"Divock Origi",Forward,27,0.25,0,4
671,"Owen Otasowie",Midfielder,21,1,0,3
674,"Alex Oxlade-Chamberlain",Midfielder,29,0.25,0,7.5
676,"Pablo Hernández",Midfielder,37,1,0,1
677,"Cole Palmer",Midfielder,20,0,0,1
680,"Troy Parrott",Forward,20,0,0,0
681,"Thomas Partey",Midfielder,29,5,0,25.5
685,"Bailey Peacock-Farrell",Goalkeeper,25,0,0,0
687,"Pedro Neto",Forward,22,3.33333,0,13.3333
690,"Nicolas Pépé",Forward,27,1.66667,0.333333,11
691,"Ayoze Pérez",Forward,29,1,0.25,28.25
693,"Sonny Perkins",Forward,18,0,0,0
694,"Romain Perraud",Defender,25,3,0,31
696,"Philippe Coutinho",Midfielder,30,0,0,8
697,"Kalvin Phillips",Midfielder,26,7,0,39.5
698,"Jaden Philogene-Bidace",Midfielder,20,0,0,0
699,"Jordan Pickford",Goalkeeper,28,1.5,0,0.75
700,"Erik Pieters",Defender,34,1.33333,0,20.3333
701,"Ethan Pinnock",Defender,29,1,0,9
702,"Przemyslaw Placheta",Midfielder,24,1,0,1
705,"Paul Pogba",Midfielder,29,4.25,0.25,40
707,"Nick Pope",Goalkeeper,30,1,0,0.666667
710,"Ian Poveda-Ocampo",Forward,22,0,0,5
712,"Dennis Praet",Midfielder,28,1,0,15
714,"Isaac Price",Midfielder,19,0,0,0
715,"Davy Pröpper",Midfielder,31,2,0,21.6667
716,"Teemu Pukki",Forward,32,3.5,0,27
717,"Christian Pulisic",Midfielder,24,1.33333,0,14
718,"Ignacio Pussetto",Forward,26,1,0,3
725,"Kayne Ramsay",Defender,22,0.5,0,0.5
726,"Aaron Ramsdale",Goalkeeper,24,0.666667,0,0.333333
727,"Jacob Ramsey",Midfielder,21,3,0,22.5
728,"Darren Randolph",Goalkeeper,35,0,0,0
729,Raphinha,Forward,25,5,0,26.5
730,"Marcus Rashford",Forward,24,3,0.25,21.25
731,"Milot Rashica",Midfielder,26,0,0,23
732,"David Raya",Goalkeeper,27,1,0,1
733,"Nathan Redmond",Midfielder,28,1.5,0,24.75
734,"Sergio Reguilón",Defender,25,4.5,0,24
737,"Ricardo Pereira",Defender,29,3.5,0,27.5
738,"Declan Rice",Midfielder,23,5,0,26.75
