player_id,player_name,player_position,sum_yellow_cards,sum_red_cards,player_fouls,seasons_played
1214,"Okay Yokuslu",Midfielder,4,0,25,1
1215,"Maya Yoshida",Defender,1,0,7,2
1216,"André-Frank Zambo Anguissa",Midfielder,7,1,67,2
1217,"Richairo Zivkovic",Forward,0,0,1,1
1218,"Kenneth Zohore",Forward,1,0,13,1
1225,"Ibrahim Amadou",Midfielder,1,0,8,1
1226,"Luke Amos",Midfielder,0,0,0,1
1227,"Marko Arnautovic",Forward,3,0,30,1
1231,"Charlie Austin",Forward,1,0,14,2
1234,"Antonio Barreca",Defender,0,0,0,1
1240,"Philip Billing",Midfielder,15,0,75,2
1243,"Gaëtan Bong",Defender,0,0,11,2
1244,"Borja Bastón",Forward,0,0,0,1
1245,"Artur Boruc",Goalkeeper,2,0,0,1
1247,"Miguel Britos",Defender,0,0,3,1
1248,"David Brooks",Midfielder,4,0,19,2
1250,Bruno,Defender,2,0,4,1
1251,"Kean Bryan",Defender,1,0,13,1
1257,"Víctor Camarasa",Midfielder,6,0,23,2
1259,"Etienne Capoue",Midfielder,22,1,104,2
1262,"Petr Cech",Goalkeeper,0,0,0,1
1264,Chicharito,Forward,2,0,9,2
1272,"Steve Cook",Defender,9,1,34,2
1275,"Aaron Cresswell",Defender,14,0,45,4
1277,"Peter Crouch",Forward,1,0,3,1
1280,"Charlie Daniels",Defender,4,0,7,2
1281,Danilo,Defender,1,0,10,1
1282,"Arnaut Danjuma",Forward,0,0,0,1
1283,"Matteo Darmian",Defender,0,0,3,1
1286,"Jermain Defoe",Forward,0,0,0,1
1287,"Steven Defour",Midfielder,0,0,1,1
1288,"Mousa Dembélé",Midfielder,1,0,12,1
1290,"Leander Dendoncker",Midfielder,14,0,86,4
1292,"Gerard Deulofeu",Forward,6,0,41,2
1293,"Mohamed Diamé",Midfielder,3,0,36,1
1297,"Luke Dreher",Midfielder,0,0,0,1
1298,"Ondrej Duda",Midfielder,0,0,9,1
1305,"Cesc Fàbregas",Midfielder,1,0,1,1
1306,"Ralf Fährmann",Goalkeeper,0,0,0,1
1307,"Marouane Fellaini",Midfielder,1,0,15,1
1311,"Dimitri Foulquier",Defender,0,0,0,1
1312,"Simon Francis",Defender,4,1,18,2
1314,"Kieron Freeman",Defender,0,0,1,1
1315,"Manolo Gabbiadini",Forward,0,0,9,1
1322,"Mason Greenwood",Forward,3,0,44,4
1324,"Idrissa Gueye",Midfielder,6,0,54,1
1331,"Ander Herrera",Midfielder,4,0,21,1
1335,"Gonzalo Higuaín",Forward,0,0,6,1
1338,"José Holebas",Defender,17,1,52,2
1345,"Jordon Ibe",Midfielder,1,0,8,2
1346,"Vicente Iborra",Midfielder,0,0,6,1
1350,"Daryl Janmaat",Defender,4,0,21,2
1351,"Vincent Janssen",Forward,0,0,2,1
1353,"Carl Jenkinson",Defender,0,0,1,1
1359,Joselu,Forward,1,0,5,1
1366,"Lloyd Kelly",Defender,2,0,7,1
1369,"Ki Sung-Yeung",Midfielder,2,0,12,2
1373,"Jonathan Kodjia",Forward,1,0,1,1
1374,"Vincent Kompany",Defender,6,0,17,1
1375,"Laurent Koscielny",Defender,1,0,9,1
1380,"Moritz Leitner",Midfielder,1,0,8,1
1381,"Léo Bonatini",Forward,0,0,0,1
1382,"Jefferson Lerma",Midfielder,23,1,85,2
1383,"Stephan Lichtsteiner",Defender,3,0,11,1
1385,"Fernando Llorente",Forward,2,0,12,1
1389,"Gary Madine",Forward,0,0,2,1
1393,"Adrian Mariappa",Defender,7,1,39,2
1394,"Lazar Markovic",Midfielder,0,0,1,1
1404,"Nampalys Mendy",Midfielder,13,0,64,4
1405,"Chris Mepham",Defender,2,0,18,2
1409,"Álvaro Morata",Forward,3,0,19,1
1410,"Alberto Moreno",Defender,0,0,1,1
1411,"Ravel Morrison",Midfielder,0,0,1,1
1413,"Nacho Monreal",Defender,5,0,18,2
1414,"Samir Nasri",Midfielder,0,0,3,1
1417,"Oumar Niasse",Forward,0,0,13,2
1418,"Georges-Kévin Nkoudou",Midfielder,0,0,0,2
1427,"Pedro Obiang",Midfielder,0,0,13,1
1429,"Stefano Okaka",Forward,1,0,1,1
1430,"Shinji Okazaki",Forward,0,0,6,1
1441,"Roberto Pereyra",Midfielder,7,0,48,2
1442,"Nathaniel Phillips",Defender,2,0,20,1
1446,"Sebastian Prödl",Defender,0,0,2,2
